count(*),ticker_id,ticker
96,38,ACET
98,40,ACFN
98,57,ACUR
3,81,AED
97,93,AERG
56,108,AFFY
98,191,AMCF
98,240,ANTH
44,275,ARCW
51,278,AREX
96,293,ARRS
98,305,ARYX
97,325,ASTI
33,331,ATAI
2,335,ATEA
98,342,ATLS
68,422,BAS
69,435,BBT
97,460,BEBE
98,466,BERK
85,505,BKJ
98,507,BKOR
44,556,BPL
98,581,BSPM
98,627,CACH
98,632,CAFI
97,640,CALI
98,648,CAPS
96,654,CASM
69,680,CBM
67,690,CBS
97,719,CCUR
44,724,CDTI
88,732,CECO
60,737,CELG
98,757,CFNB
98,780,CHGS
98,815,CITZ
98,855,CMFO
98,945,CPWR
86,972,CRR
47,1028,CTRP
7,1031,CTWS
44,1035,CUR
98,1089,CYTR
98,1113,DCTH
44,1121,DEER
42,1130,DEST
51,1132,DF
97,1171,DMEDF
66,1176,DNBF
29,1205,DRYS
98,1243,DYSL
83,1277,EEI
98,1318,EMITF
43,1341,ENZN
98,1429,FALC
94,1483,FGP
98,1525,FNGN
1,1543,FRED
1,1598,GB
97,1608,GCFB
49,1643,GHDX
98,1648,GIGA
93,1780,IPCI
34,1802,ISCA
32,1814,ISRL
50,1841,JASO
97,1880,JSDA
96,1897,KCAP
98,1899,KCLI
66,1902,KEG
96,1946,KONA
44,1949,KOOL
37,2078,LRAD
98,2093,LTRE
95,2141,MBFI
98,2152,MCBI
90,2172,MDCO
41,2179,MDSO
98,2243,MKTAY
42,2301,MRGE
45,2367,MYRX
40,2373,NANO
98,2374,NASB
98,2379,NAUH
29,2394,NCI
98,2420,NEXS
98,2454,NLST
98,2507,NTRI
55,2550,NYNY
67,2629,ORIT
43,2643,OTIV
98,2658,OZRK
98,2725,PFBX
95,2744,PHII
94,2745,PHIIK
90,2755,PJC
96,2826,PRAN
97,2838,PRKR
44,2858,PSID
98,2871,PTIE
98,2872,PTIX
94,2880,PTX
94,2881,PUDA
98,2885,PURE
44,2913,QCCO
97,2920,QKLS
98,3005,RITT
43,3043,ROYL
40,3064,RTEC
43,3125,SCHS
98,3128,SCIL
70,3156,SEMG
98,3189,SHLD
98,3207,SIGM
88,3270,SNH
43,3287,SOFO
98,3308,SPIR
98,3366,STLY
98,3378,STRI
98,3399,SURG
97,3403,SVA
46,3428,SYMC
98,3462,TCHC
98,3479,TEAR
98,3520,THTI
98,3563,TORM
98,3637,TWER
29,3653,TYPE
44,3661,UBNK
98,3690,ULGX
98,3723,USAT
98,3753,VALV
70,3770,VIA
42,3814,VRTB
98,3820,VSBN
78,3825,VSI
98,3839,WACLY
45,3846,WAYN
39,3885,WIN
98,4002,YUII
98,4024,ZOOM
98,4029,BRK-B
97,4030,BRK-A
98,4041,ADZ
98,4056,AGF
80,4080,ANFI
91,4118,AWAY
98,4123,AYT
98,4133,BBRC
98,4134,BCDS
43,4145,BDD
98,4156,BGMD
96,4182,BLMT
97,4194,BOM
98,4196,BOS
98,4223,BUNT
97,4233,BZF
82,4241,CARB
66,4251,CELGZ
98,4270,CHOC
98,4342,DAG
97,4361,DDP
86,4380,DKT
96,4389,DNO
98,4392,DOD
98,4428,DYY
98,4436,ECTE
95,4493,ESMC
98,4525,FABK
98,4537,FBNK
98,4615,GBB
51,4646,GIG
59,4655,GJV
39,4678,GOODO
98,4700,GTAT
69,4728,GYB
98,4744,HAUP
46,4772,HCP
44,4876,HPJ
98,4998,IDTI
43,5019,IGOI
96,5031,IIJI
96,5052,IMUC
82,5053,INB
97,5095,JGBD
77,5117,JMT
6,5178,LBND
69,5197,LOR
98,5217,MCBK
98,5261,MJC
98,5270,MLPN
98,5271,MLPS
98,5272,MLPW
55,5407,NNC
55,5441,NTC
98,5489,OLO
98,5495,ORBT
97,5655,RPXC
98,5662,RTLA
3,5668,RWXL
98,5678,SBND
